company,S01,S02,S03,S04,S05,S06,S07,S08
C01,1,0,0,0,0,0,0,0
C02,0,1,0,0,0,0,0,0
C03,0,0,1,0,0,0,0,0
C04,0,0,0,1,0,0,0,0
C05,0,0,0,0,1,0,0,0
C06,0,0,0,0,0,1,0,0
C07,0,0,0,0,0,0,1,0
C08,0,0,0,0,0,0,0,1
C09,1,0,0,0,0,0,0,0
C10,0,1,0,0,0,0,0,0
C11,0,0,1,0,0,0,0,0
C12,0,0,0,1,0,0,0,0
C13,0,0,0,0,1,0,0,0
C14,0,0,0,0,0,1,0,0
C15,0,0,0,0,0,0,1,0
C16,0,0,0,0,0,0,0,1
C17,1,0,0,0,0,0,0,0
C18,0,1,0,0,0,0,0,0
C19,0,0,1,0,0,0,0,0
C20,0,0,0,1,0,0,0,0
C21,0,0,0,0,1,0,0,0
C22,1,0,0,0,1,1,0,0
C23,0,0,0,0,0,0,1,0
C24,0,0,0,0,0,0,0,1
C25,1,0,0,0,0,0,0,0
C26,0,1,0,0,0,0,0,0
C27,0,0,1,0,0,0,0,0
C28,0,0,0,1,0,0,0,0
C29,0,0,0,0,1,0,0,0
C30,0,0,0,0,0,1,0,0
