company,S01,S02,S03,S04,S05,S06,S07,S08
C01,1,1,0,0,0,0,0,0
C02,1,1,0,0,0,0,0,0
C03,1,1,0,0,0,0,0,0
C04,1,1,0,0,0,0,0,0
C05,1,1,0,0,0,0,0,0
C06,1,1,0,0,0,0,0,0
C07,1,1,0,0,0,0,0,0
C08,1,1,0,0,0,0,0,0
C09,1,1,0,0,0,0,0,0
C10,1,1,0,0,0,0,0,0
C11,1,1,0,0,0,0,0,0
C12,1,1,0,0,0,0,0,0
C13,1,1,0,0,0,0,0,0
C14,1,1,0,0,0,0,0,0
C15,1,1,0,0,0,0,0,0
C16,1,1,0,0,0,0,0,0
C17,1,1,0,0,0,0,0,0
C18,1,1,0,0,0,0,0,0
C19,1,1,0,0,0,0,0,0
C20,1,1,0,0,0,0,0,0
C21,1,1,0,0,0,0,0,0
C22,1,1,0,0,0,0,0,0
C23,1,1,0,0,0,0,0,0
C24,1,1,0,0,0,0,0,0
C25,1,1,0,0,0,0,0,0
C26,1,1,0,0,0,0,0,0
C27,1,1,0,0,0,0,0,0
C28,1,1,0,0,0,0,0,0
C29,1,1,0,0,0,0,0,0
C30,1,1,0,0,0,0,0,0
