company,S01,S02,S03,S04,S05,S06,S07,S08
C01,1,1,1,1,1,1,1,1
C02,1,1,1,1,1,1,1,1
C03,1,1,1,1,1,1,1,1
C04,1,1,1,1,1,1,1,1
C05,1,1,1,1,1,1,1,1
C06,1,1,1,1,1,1,1,1
C07,1,1,1,1,1,1,1,1
C08,1,1,1,1,1,1,1,1
C09,1,1,1,1,1,1,1,1
C10,1,1,1,1,1,1,1,1
C11,1,1,1,1,1,1,1,1
C12,1,1,1,1,1,1,1,1
C13,1,1,1,1,1,1,1,1
C14,1,1,1,1,1,1,1,1
C15,1,1,1,1,1,1,1,1
C16,1,1,1,1,1,1,1,1
C17,1,1,1,1,1,1,1,1
C18,1,1,1,1,1,1,1,1
C19,1,1,1,1,1,1,1,1
C20,1,1,1,1,1,1,1,1
C21,1,1,1,1,1,1,1,1
C22,1,1,1,1,1,1,1,1
C23,1,1,1,1,1,1,1,1
C24,1,1,1,1,1,1,1,1
C25,1,1,1,1,1,1,1,1
C26,1,1,1,1,1,1,1,1
C27,1,1,1,1,1,1,1,1
C28,1,1,1,1,1,1,1,1
C29,1,1,1,1,1,1,1,1
C30,1,1,1,1,1,1,1,1
