company,P1,P2,P3,P4,P5,P6,P7,P8
E01,1,0,1,0,1,0,0,1
E02,0,1,1,0,0,1,0,0
E03,1,1,0,0,1,0,1,0
E04,0,0,1,1,0,1,0,1
E05,1,0,0,1,0,0,1,0
E06,0,1,0,1,1,0,0,0
E07,1,0,1,0,0,1,0,0
E08,0,1,0,0,1,0,1,0
E09,1,0,0,1,0,1,0,1
E10,0,1,1,0,0,0,1,0
E11,1,0,0,0,1,0,0,1
E12,0,1,0,1,0,1,0,0
E13,1,1,0,0,0,0,1,0
E14,0,0,1,1,0,1,0,0
E15,1,0,0,0,1,0,1,0
E16,0,1,1,0,0,1,0,0
E17,1,0,0,1,0,0,0,1
E18,0,1,0,0,1,0,1,0
E19,1,0,1,0,0,1,0,0
E20,0,1,0,1,0,0,1,0
E21,1,0,0,0,1,0,0,1
E22,0,1,1,0,0,1,0,0
E23,1,0,0,1,0,0,1,0
E24,0,1,0,0,1,0,0,1
E25,1,1,0,0,0,1,0,0
E26,0,0,1,1,0,0,1,0
E27,1,0,0,0,1,0,1,0
E28,0,1,1,0,0,0,0,1
E29,1,0,0,1,0,1,0,0
E30,0,1,0,0,1,0,1,0
E31,1,0,1,0,0,0,0,1
E32,0,1,0,1,0,0,1,0
E33,1,0,0,0,1,0,0,1
E34,0,1,1,0,0,1,0,0
E35,1,0,0,1,0,0,1,0
